chr1	0	122678785
chr2	0	85426708
chr3	0	91889043
chr4	0	88276631
chr5	0	88915250
chr6	0	77573801
chr7	0	80974532
chr8	0	74330416
chr9	0	61074082
chr10	0	69331447
chr11	0	74389097
chr12	0	72498081
chr13	0	63241923
chr14	0	60966679
chr15	0	64190966
chr16	0	59632846
chr17	0	64289059
chr18	0	55844845
chr19	0	53741614
chr20	0	58134056
chr21	0	50858623
chr22	0	61439934
chr23	0	52294480
chr24	0	47698779
chr25	0	51628933
chr26	0	38964690
chr27	0	45876710
chr28	0	41182112
chr29	0	41845238
chr30	0	40214260
chr31	0	39895921
chr32	0	38810281
chr33	0	31377067
chr34	0	42124431
chr35	0	26524999
chr36	0	30810995
chr37	0	30902991
chr38	0	23914537
chrMT	0	16727
chrX	0	123869142
